A1_0_0_15 0100000000010010001000100010001000111110001100000
B3_0_0_14 0100001000011110001000100010001000111111000110001
B_1_GB1_12 1000001000010110001000100010001000111110000-00001
B2_0_0_14 0010000000011110001000100010001000111111101-01001
B1_0_0_13 0100000000010010001000100010001000000000001101001
B9_0_0_14 010000000001001000100010001000100011111100?000101
B4_0_0_15 0100000100011?10001000100010001000111111001100110
B6a_0_0_15 0100001000011010001000100010001000111111100-01100
Bn_0_0_14 0010000000010?10001000100010001000111110000100001
Da_4_CH1_15 0010000100010-01000100010001000100111111100110001
EcX_0_0_15 1000000100010110001000100010001000111111100-----0
Ei_0_0_15 0100000000011110001000100010001000111111001-----1
E1_1_DE2_14 0001000000010?10001000100010001000111110000---001
E2_0_0_14 0100000000010110001000100010001000111111001001001
E_1_FR1_13 0100000000010010001000100010001000111111001110111
Fm_4_CH1_15 0010000100010-01000100010001000100111111100110001
Fb_1_DE1_13 010000?000010010001000100010001000111111001100101
Goe1_0_0_15 0010000000100-10001000100010001000-----0000101101
H_1_GB3_13 1000000000010110001000100010001000111111000000001
Koe_1_BE1_12 0100000000010010001000100010001000111111000101001
Le1_6_NL1_15 00100000000100010001000100010001001111111010-0110
Le_0_0_13 0010000000110?10001000100010001000111111000010111
Lue_0_0_13 1000000000010110001000100010001000111111000-01001
M3_1_DE1_13 0100000000010?10001000100010001000111111000100001
M2_2_AT3_13 0100001000011?10001000100010001000111111000010111
M13_0_0_15 0010000000110?10001000100010001000111110001100??1
M17_2_FR3_15 0000100000010010001000100010001000111111001110000
M5_1_AT2_14 000010000001001000100010001000100011111110?001??1
M11_0_0_15 0100001000011110001000100010001000111110000000001
M10_0_0_15 0100000100010110001000100010001000111111001010000
M1_1_Fr1_13 0100000000010010001000100010001000111110000-----1
M4_0_0_14 0000100000000-10001000100010001000-----1101001010
M18_1_DE4_15 0100000100011010001000100010001000111111101010111
M_1_Fr1_13 0100000000010010001000100010001000111111000100001
M22_0_0_15 0100000000010010001000100010001000111110001110000
M6_1_DE3_14 0010000000010?10001000100010001000111110000000111
M14_0_0_15 0010000000010110001000100010001000111110000110101
M16_0_0_15 0010000000010?01000100010001000100111110110001000
M9_0_0_15 0010000000000-10001000100010001000-----0001110001
Nue_1_DE3_15 0010000000010010001000100010001000111110001010001
Ot_0_0_15 0010000100011?10001000100010001000111110001001001
