variant,fbmplut2056,eufdeperfca2108,abs583,lub1314,pbnlat15467,pnkxxiiif204,fsuincquart706a,mbsclm19414,lol490,rsa6519,nbl1183,pbm305,pbnlat14435,mbelat693,eufdeperfca2079,lblcotrollxiv12,pnkiiie5,fub36a,khaw247,lbm445,won363,lblroy14bix,mbsclm16223,CCC83,bsbtheollatfol64,dclbii33,culdd116,pbnlat5101,swltheolphil2122,CodTriv489,vbb342,penmasson71,gflchaa16,lblhar658,pfllewe202,mrmmik6365,kac696,lol390,won364,CCC503,mbm89,dul190,vbapallat1723,fbmplut1511,lbladd14819,whafol70,avr166,pbnlat10431,chltyp216,bwaw796,pfllewe72,mbscgm564,mbsclm8201,vbapallat963,ctcb155,won1548,abs128,nblmar26,mjrgast2037,tburps75iii,won378,fbrricc236,gflchaa4,aux145,mbsclm314,akbwettf9,mbsclm2660,ctcb154,no signature yet,mbsclm14969,pbnlat15637,aux146,msrh193,akbwettf267,mlm4989,vbavatlat1972,mbsclm28173,cmb183,bas4,lubapel1,pbnlat15254,lbladd606281,cma1973,pbnlat297,ccc29,lblcotvitciii,bun762,hubsalix40,pba1234,vbavatlat3782,CCC437,fsugermquart13,whaguelf360helm,culdd812,vbavatlat3783
serisisset,-,-,0,-,0,0,-,-,0,-,-,0,-,-,-,-,0,1,-,0,0,-,-,-,0,-,-,-,-,-,-,0,-,-,-,0,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,0,-,-,-,-,0
ac,-,-,0,-,0,0,-,-,0,-,-,0,-,-,-,-,0,0,-,1,0,-,-,-,0,-,-,-,-,-,-,0,-,-,-,0,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,0,-,-,-,-,0
comedendo,-,-,0,-,0,0,-,-,0,-,-,0,-,-,-,-,1,0,-,0,1,-,-,-,0,-,-,-,-,-,-,0,-,-,-,0,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,0,-,-,-,-,1
acq uieuisset,-,-,0,-,0,0,-,-,0,-,-,0,-,-,-,-,0,0,-,0,0,-,-,-,1,-,-,-,-,-,-,0,-,-,-,0,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,0,-,-,-,-,0
eue,-,-,0,-,0,0,-,-,0,-,-,0,-,-,-,-,0,0,-,0,0,-,-,-,0,-,-,-,-,-,-,0,-,-,-,1,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,0,-,-,-,-,0
acquie uisset,-,-,0,-,0,0,-,-,0,-,-,1,-,-,-,-,0,0,-,0,0,-,-,-,0,-,-,-,-,-,-,0,-,-,-,0,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,1,-,-,-,0,0,-,-,-,-,0
acqueuisset,-,-,0,-,0,0,-,-,0,-,-,0,-,-,-,-,0,0,-,0,0,-,-,-,0,-,-,-,-,-,-,1,-,-,-,0,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,0,-,-,-,-,0
quieuisset,-,-,-,-,1,-,-,-,-,-,-,-,0,-,-,0,-,-,-,1,-,0,-,0,-,-,-,-,-,-,-,-,0,0,-,0,-,-,-,-,-,-,-,0,0,-,0,0,-,0,-,-,-,-,-,0,-,-,0,-,-,-,-,-,0,0,-,0,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
poma,-,-,-,-,0,-,-,-,-,-,-,-,0,-,-,0,-,-,-,0,-,0,-,0,-,-,-,-,-,-,-,-,0,0,-,0,-,-,-,-,-,-,-,0,0,-,0,0,-,0,-,-,-,-,-,0,-,-,0,-,-,-,-,-,1,0,-,0,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
adquieuisset,-,-,-,-,0,-,-,-,-,-,-,-,1,-,-,1,-,-,-,0,-,1,-,1,-,-,-,-,-,-,-,-,1,1,-,1,-,-,-,-,-,-,-,1,1,-,1,1,-,1,-,-,-,-,-,1,-,-,1,-,-,-,-,-,0,0,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
pomum,-,-,-,-,0,-,-,-,-,-,-,-,0,-,-,0,-,-,-,0,-,0,-,0,-,-,-,-,-,-,-,-,0,0,-,0,-,-,-,-,-,-,-,0,0,-,0,0,-,0,-,-,-,-,-,0,-,-,0,-,-,-,-,-,0,1,-,0,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
acquieuisset,1,1,-,1,-,1,-,1,-,1,1,-,-,-,1,-,1,-,1,-,1,-,1,-,-,1,1,1,1,1,1,-,-,-,1,-,1,1,1,1,1,-,1,-,-,1,-,-,1,-,1,-,1,1,-,-,1,1,-,-,1,1,1,1,1,1,1,-,-,-,1,1,1,1,1,1,1,-,1,1,1,1,1,1,-,-,1,1,1,1,1,1,1,1,1
propter disconuenientiam,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,0,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-
et,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-
pro,1,1,1,1,1,1,-,1,1,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,1,1,1,-,1,1,1,1,1,1,1,1,1,1,1,-,1,1,-,-,1,1,1,1,1
discon uenientia,0,0,0,0,0,0,-,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,-,0,0,-,-,0,0,0,0,0
disconunenientia,0,0,0,0,0,0,-,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,-,0,0,-,-,0,0,0,0,0
disconuenien tia,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,-,0,0,-,-,0,0,0,0,0
disconuenieniam,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,-,0,0,-,-,0,0,0,0,1
inconuenientia,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-,-,0,1,0,-,0,0,0,0,0,0,0,0,0,0,0,-,0,0,-,-,0,0,0,0,0
disconcinencia instibalis,0,0,0,0,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,-,0,0,-,-,0,0,0,0,0
disconuenientia,1,1,1,1,1,0,-,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,-,-,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,-,-,1,0,0,-,1,1,1,0,0,1,0,0,1,1,1,-,1,1,-,-,1,1,1,1,0
dis conuenientia,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,-,0,0,-,-,0,0,0,0,0
disconue,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,-,0,0,0,0,0,0,1,0,0,0,0,-,0,0,-,-,0,0,0,0,0
disconueniencia,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,1,-,0,0,0,1,0,0,0,1,0,0,0,-,0,0,-,-,0,0,0,0,0
disconueni entia,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,-,0,0,0,0,1,0,0,0,0,0,0,-,0,0,-,-,0,0,0,0,0
nientiam,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,1,0,-,-,0,0,-,-,-,-,-,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,-,-,0,-,-,-,0,-,0,-,-,0,-,-,-,-,0,-,-,0,-,-,-,-,-,-,-,-,-,-,-
nu ditatis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,0,0,-,-,0,0,-,-,-,-,-,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,0,-,-,-,0,-,0,-,-,0,-,-,-,-,0,-,-,1,-,-,-,-,-,-,-,-,-,-,-
nudi tatis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,0,0,-,-,0,1,-,-,-,-,-,1,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,-,-,0,-,-,-,1,-,0,-,-,0,-,-,-,-,0,-,-,0,-,-,-,-,-,-,-,-,-,-,-
nudita tis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,0,0,-,-,0,0,-,-,-,-,-,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,-,-,0,-,-,-,0,-,1,-,-,0,-,-,-,-,0,-,-,0,-,-,-,-,-,-,-,-,-,-,-
auditatis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,0,0,-,-,1,0,-,-,-,-,-,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,-,-,0,-,-,-,0,-,0,-,-,0,-,-,-,-,0,-,-,0,-,-,-,-,-,-,-,-,-,-,-
nudatus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,0,0,-,-,0,0,-,-,-,-,-,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,-,-,1,-,-,-,0,-,0,-,-,0,-,-,-,-,0,-,-,0,-,-,-,-,-,-,-,-,-,-,-
nientia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,0,1,-,-,0,0,-,-,-,-,-,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,-,-,0,-,-,-,0,-,0,-,-,0,-,-,-,-,1,-,-,0,-,-,-,-,-,-,-,-,-,-,-
nudaitatis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,0,0,-,-,0,0,-,-,-,-,-,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,-,-,0,-,-,-,0,-,0,-,-,1,-,-,-,-,0,-,-,0,-,-,-,-,-,-,-,-,-,-,-
nuditus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,0,0,-,-,0,0,-,-,-,-,-,0,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,-,-,0,-,-,-,0,-,0,-,-,0,-,-,-,-,0,-,-,0,-,-,-,-,-,-,-,-,-,-,-
nuditatis,1,1,1,1,1,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,1,1,1,1,1,1,-,-,1,1,1,1,1,-,1,1,1,1,1,1,-,1,1,1,1,1,1,-,1,1,1,-,1,1,1,1,1,1,1,-,1,1,-,1,-,-,-,1,-,1,1,-,1,1,1,1,1,1,1,-,1,-,1,1,1,1,1,1,1,1,1
sua,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,-,-,-,-,-,-,1,0,-,-,-,-,0
facte,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,-,-,-,-,-,-,0,0,-,-,-,-,1
sue,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,0,1,-,-,-,-,0
peryzo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,-,-,-,-,-,-,0,0,-,-,-,-,0
factus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,-,-,-,-,-,-,0,0,-,-,-,-,0
statim agnite,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
factis,1,1,1,1,1,1,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,1,1,1,1,1,1,-,1,1,1,1,1,1,1,1,1,1,1,-,1,1,1,1,-,1,1,-,1,1,1,1,1,1,1,1,-,-,1,1,1,1,1,-,1,1,1,1,1,1,1,1,-,-,1,1,1,1,1,1,1,1,-
periozomatibus,-,-,-,-,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,0,-,0,-,-,-,0,-,-,-,-,-,0,0,-,-,-,-,0,-,-,-,0,-,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,0,-,-,-,1,-,0,-,-,-,0,0,0,-,0,-,-,0
sibi,-,-,-,-,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,0,-,0,-,-,-,0,-,-,-,-,-,0,0,-,-,-,-,0,-,-,-,0,-,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,-,-,0,-,-,-,0,-,0,-,-,-,0,1,1,-,0,-,-,0
perizomati bus,-,-,-,-,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,1,0,-,-,-,-,-,-,-,0,-,0,-,-,-,0,-,-,-,-,-,0,0,-,-,-,-,0,-,-,-,0,-,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,0,-,-,-,0,-,0,-,-,-,0,0,0,-,0,-,-,0
peryzhomatibus,-,-,-,-,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,0,1,-,-,-,-,-,-,-,0,-,0,-,-,-,0,-,-,-,-,-,0,0,-,-,-,-,0,-,-,-,0,-,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,0,-,-,-,0,-,0,-,-,-,0,0,0,-,0,-,-,0
parizomatibus,-,-,-,-,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,0,-,0,-,-,-,1,-,-,-,-,-,0,0,-,-,-,-,0,-,-,-,0,-,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,0,-,-,-,0,-,0,-,-,-,0,0,0,-,0,-,-,0
perysomatibus,-,-,-,-,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,0,-,0,-,-,-,0,-,-,-,-,-,0,0,-,-,-,-,0,-,-,-,0,-,-,0,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,-,-,0,-,-,-,0,-,0,-,-,-,0,0,0,-,0,-,-,0
peryzomatibus,-,-,-,-,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,1,-,1,-,-,-,0,-,-,-,-,-,0,0,-,-,-,-,1,-,-,-,0,-,-,1,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,1,-,-,-,0,-,1,-,-,-,1,0,0,-,0,-,-,1
perisomatibus,-,-,-,-,-,1,-,0,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,0,-,0,-,-,-,0,-,-,-,-,-,1,1,-,-,-,-,0,-,-,-,0,-,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,0,-,-,-,0,-,0,-,-,-,0,0,0,-,1,-,-,0
perizoma,-,-,-,-,-,0,-,1,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,0,-,0,-,-,-,0,-,-,-,-,-,0,0,-,-,-,-,0,-,-,-,0,-,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,0,-,-,-,0,-,0,-,-,-,0,0,0,-,0,-,-,0
est,-,-,-,-,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,0,-,0,-,-,-,0,-,-,-,-,-,0,0,-,-,-,-,0,-,-,-,1,-,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,0,-,-,-,0,-,0,-,-,-,0,0,0,-,0,-,-,0
perizomatibus,-,1,1,1,1,-,-,0,1,1,1,1,1,1,1,1,1,1,1,-,-,1,1,1,1,1,1,1,-,1,-,1,1,1,-,1,1,1,1,1,-,-,1,1,1,1,-,1,1,1,1,-,1,-,1,-,0,1,1,1,1,1,1,1,0,1,1,1,-,-,1,1,1,1,-,-,1,-,1,1,1,-,1,-,-,-,1,-,1,1,1,-,1,1,-
matibus,-,0,0,0,0,-,-,1,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,-,0,-,0,0,0,-,0,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,-,0,-,1,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,-,-,0,-,0,0,0,-,0,-,-,-,0,-,0,0,0,-,0,0,-
perizomatibus,-,0,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,-,0,-,0,0,0,-,0,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,-,0,-,0,0,0,0,0,0,0,0,1,0,0,0,-,-,0,0,0,0,-,-,0,-,0,0,0,-,0,-,-,-,0,-,0,0,0,-,0,0,-
da,-,-,-,0,-,-,-,-,-,-,0,-,-,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,0,-,-,-,0,-,-,-,-,-,-,-,-,-,-
factis,-,-,-,0,-,-,-,-,-,-,0,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,0,0,-,-,-,1,-,-,-,-,-,-,-,-,-,-
a,-,-,-,0,-,-,-,-,-,-,0,-,-,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,1,1,-,-,-,0,-,-,-,-,-,-,-,-,-,-
scilicet,-,-,-,1,-,-,-,-,-,-,0,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,0,-,-,-,0,-,-,-,-,-,-,-,-,-,-
qi,-,-,-,0,-,-,-,-,-,-,1,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,0,-,-,-,0,-,-,-,-,-,-,-,-,-,-
de,-,-,-,1,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,0,-,-,-,0,-,1,-,-,0,-,-,-,1,1,-,-,-,-,-
pery zomatibus,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,1,-,-,-,0,-,0,-,-,0,-,-,-,0,0,-,-,-,-,-
machet got evam von adams rippe,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,0,-,-,-,0,-,0,-,-,0,-,-,-,0,0,-,-,-,-,-
perizom atibus,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,0,-,-,-,0,-,0,-,-,1,-,-,-,0,0,-,-,-,-,-
deo,-,-,-,0,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,0,-,-,-,1,-,0,-,-,0,-,-,-,0,0,-,-,-,-,-
do,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,0,1,0,-,-,-,-,-,-,0,0,-,-,-,-,-
post increpationem,-,-,-,0,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,1,0,0,-,-,-,-,-,-,0,0,-,-,-,-,-
