mbb-clm-10182 010000000001000000000100000000010000000001000000000001100010001000100011100100100011000001
 010000000001000000000100000000010000000001000000000001100010001000100011000000000111100000
mbb-clm-19414 001000000000100000000010000000001000000000100000000001100?10001000100011000000000000001111
mbb-clm-28173 001000000000100000000010000000001000000000100000000001100110001000100011000000000011101101
mbb-clm-28514 001000000000100000000010000000001000000000100000000001100?01000100010011011011011000010000
mlm-2-88 001000000000100000000010000000001000000000100000000000000-100010001000--000000000111100001
nsb-cent-i-7 001000000000100000000010000000001000000000100000000001100010001000100011000000000100100001
oko-o-53 001000010000100001000010000100001000010000100001000001111?10001000100011000000000100010001
swl-theol-phil-2-100 000010000000001000000000100000000010000000001000000001100?10001000100011100100100000100001
swl-theol-phil-2-122 001000000000100000000010000000001000000000100000000001100?10001000100011110110110111100001
wha-fol-70 010000000001000000000100000000010000000001000000000001100010001000100011100100100011011101
wha-oct-111 001000000000100000000010000000001000000000100000000001100?01000100010011110110110100100001
whb-guelf-89-aug-2 001000000000100000000010000000001000000000100000000000000-100010001000--110110110000011101
whb-25-1-extr 100000010010000001001000000100100000010010000001000001100110001000100011110110110100101111
whb-305-bla 010000000001000000000100000000010000000001000000000001100?10001000100011100100100011000001
whb-305a-bla 001000010000100001000010000100001000010000100001000001100?01000100010011110110110011100001
dtc-117 010000000001000000000100000000010000000001000000000001100101000100010011100100100011101111
bbu-1761 001000010000100001000010000100001000010000100001000001100000100010001011110110110100100000
bas-4 010000000001000000000100000000010000000001000000000001100?10001000100011100100100000010001
fbm-plut-15-11 000010000000001000000000100000000010000000001000000000000-100010001000--100100100111101111
fbr-ricc-236 010000010001000001000100000100010000010001000001000001100110001000100011100100100111011101
mbt-triv-489 100000000010000000001000000000100000000010000000000001100?100010001000110100100101--001111
mbe-lat-693 001000010000100001000010000100001000010000100001000001111?10001000100011100100100000010000
nbn-viii-c-3 000010000000001000000000100000000010000000001000000000000-100010001000--000000000111000001
nbn-viii-c-6 010000000001000000000100000000010000000001000000000001100010001000100011100100100011101101
rbn-sess-160 010000110001000011000100001100010000110001000011000001111?10001000100011110110110111100001
vbc-fp-nd 100000100010000010001000001000100000100010000010000001100110001000100011100100100011000001
vbb-342 001000000000100000000010000000001000000000100000000001100?10001000100011000000000100100001
vbb-343 001000010000100001000010000100001000010000100001000001111?00010001000111110110110000010001
rmw-10-a-15 001000000000100000000010000000001000000000100000000001100110001000100011100100100011101111
lun-vlf-4 010000000001000000000100000000010000000001000000000001100?01000100010011100100100111101101
lun-vlf-31 010000000001000000000100000000010000000001000000000001100010001000100011100100100000011101
tbu-rps-75-iii 001000000000100000000010000000001000000000100000000001100?10001000100011011011011000100000
wbu-i-f-103 001000000000100000000010000000001000000000100000000001100010001000100011000000000000100001
uub-c-129 001000010000100001000010000100001000010000100001000001111001000100010011100100100011100001
cnl-29 010000000001000000000100000000010000000001000000000001100110001000100011100100100011001111
chl-typ-216 010000100001000010000100001000010000100001000010000001111?10001000100011100100100111101111
