PID;sigla;Version;Variant;title;notbefore;notafter
ctc-b-15-4;C8;;; Cambridge, Trinity College, B 15.4;1200.0;1299.0
cul-add-4081;C9;;; Cambridge, University Library, Add 4081;1290.0;1309.0
cnl-22;Ch;;; Chicago, Newberry Library, MS 22;1190.0;1209.0
cma-1973.5;Cl;;; Cleveland, Museum of Art, 1973.5;1210.0;1229.0
cma-1954.388;Cl1;;; Cleveland, Museum of Art, 1954.388;1200.0;1249.0
dtc-117;D;;; Dublin, Trinity College, MS 117;1200.0;1249.0
dtc-41;D1;;; Dublin, Trinity College, MS 41;1300.0;1349.0
rmw-10-a-15;Dh;;; Den Haag, Rijksmuseum Meermanno-Westreenianum, Ms 10 A 15;1450.0;1455.0
drm-kb-72-a-11;Dh2;;; Den Haag, Koninklijke Bibliotheek, Ms. 72 A 11 (697);1400.0;1499.0
dbm-634;Di;;; Dijon, Bibliothèque Municipale, Ms. 634;1200.0;1224.0
dbm-43;Di1;;; Dijon, Bibliothèque Municipale, Ms. 43;1300.0;1499.0
dcl-b-ii-33;Du;;; Durham, Cathedral Library, B.II.33;1100.0;1299.0
das-add-767;Du1;;; Durham, Durham University Library, Archives and Special Collections, Add. 767;1200.0;1224.0
euf-dep-erf-ca-2-079;E2;;; Erfurt, Universitäts- und Forschungsbibliothek Erfurt/Gotha, Dep. Erf. CA. 2° 079;1325.0;1374.0
enl-adv-34-4-16-i;Ed1;;; Edinburgh, National Library of Scotland Adv., MS 34.4.16(i);1200.0;1299.0
ecl-96-bl-1-5;Et;;; Eton, College Library, 96 bl. 1.5;1244.0;1244.0
fbm-plut-20-56;F3;;; Firenze, Biblioteca Medicea Laurenziana, Plut. 20.56;1225.0;1274.0
fbn-magl-xxii-22;F4;;; Firenze, Biblioteca Nazionale Centrale, Magl. XXII.22;1450.0;1450.0
fbn-con-sop-f-iv-733;F6;;; Firenze, Biblioteca Nazionale Centrale, Conv. soppr. F.IV.733;1200.0;1399.0
feb-8;Fb1;;; Freiburg im Breisgau, Erzbischöfliche Bibliothek Freiburg, Cod. ms. 8;1300.0;1399.0
gub-182;G;;; Graz, Universitätsbibliothek, Ms. 182;1308.0;1308.0
gub-163;G1;;; Graz, Universitätsbibliothek, Ms. 163;1300.0;1399.0
gmb-f-202;Gd;;; Gdansk, Marienbibliothek, Ms F 202;1400.0;1499.0
gac-hebr-17;Gi;;; Girona, Arxiu Capitular, Hebr. no. 17;1275.0;1324.0
gfl-cha-a-4;Go;;; Gotha, Forschungs- und Landesbibliothek, Chart. A 4;1427.0;1427.0
gou-luneb-17;Gö;;; Göttingen, Universität, Luneb. 17;1400.0;1499.0
gfl-cha-a-16;Go1;;; Gotha, Forschungs- und Landesbibliothek, Chart. A 16;1434.0;1466.0
gbm-10;Gr;;; Grenoble, Bibliothèque Municipale, Ms. 10 Rés.;1200.0;1299.0
hub-pal-germ-110;H1;;; Heidelberg, Universitätsbibliothek, Cod. Pal. germ. 110;1490.0;1509.0
hsb-mag-27;Ha;;; Hannover, Stadtbibliothek, Ms. Mag. 27;1400.0;1499.0
hsu-petri-36;Hh;;; Hamburg, Staats- und Universitätsbibliothek, Petri 36;1415.0;1415.0
hsu-theol-1052;Hh1;;; Hamburg, Staats- und Universitätsbibliothek, Theol. 1052;1425.0;1499.0
hsu-theol-2029;Hh2;;; Hamburg, Staats- und Universitätsbibliothek, Theol. 2029;1390.0;1409.0
iut-9;I;;; Innsbruck, Universitäts- und Landesbibliothek Tirol, Cod. 9;1400.0;1499.0
kbb-xxxi-b-6;Kl;;; Klagenfurt, Bischöfliche Bibliothek, Cod. XXXI b 6;1425.0;1474.0
kus-frl-318;Kö1;;; Köln, Universitäts- und Stadtbibliothek, FR L 318;1200.0;1224.0
kha-w-385;Kö2;;; Köln, Historisches Archiv der Stadt Köln, W 385;1400.0;1499.0
kbs-cc-243;Kr;;; Kremsmünster, Benediktinerstift, CC 243;1325.0;1349.0
lbl-add-54230;L;;; London, British Library, Add MS 54230;1175.0;1199.0
lbl-har-658;L1;;; London, British Library, Harley MS 658;1175.0;1299.0
lbl-add-24025;L10;;; London, British Library, Add MS 24025;1200.0;1299.0
llp-499;L11;;; London, Lambeth Palace, Ms. 499;1200.0;1299.0
lbl-add-14819;L12;;; London, British Library, Add MS 14819;1290.0;1309.0
lbl-l-roll-1;L13;;; London, British Library, Lansdowne Roll 1;1300.0;1399.0
lbl-cot-tit-d-iii;L15;;; London, British Library, Cotton MS Titus D III;1300.0;1399.0
lbl-add-17358;L16;;; London, British Library, Add MS 17358;1431.0;1431.0
lbl-roy-1-b-x;L17;;; London, British Library, Royal MS 1 B X;1400.0;1499.0
lbl-add-61725;L21;;; London, British Library, Add MS 61725;1200.0;1224.0
lbl-cot-vit-c-iii;L3;;; London, British Library, Cotton MS Vitellius C III;1200.0;1224.0
lbl-har-627;L4;;; London, British Library, Harley MS 627;1225.0;1249.0
lbl-cot-roll-xiv-12;L5;;; London, British Library, Cotton Roll XIV 12;1225.0;1249.0
lub-1314;Le;;; Leipzig, Universitätsbibliothek, Ms. 1314;1275.0;1324.0
ler-k-iii-211;Li;;; Lindau, Ehemals Reichsstädtische Bibliothek, Druck K III 211;1300.0;1320.0
lun-vlf-31;Ln1;;; Leiden, Universiteitsbibliotheek, VLF 31;1274.0;1299.0
lrb-theol-fol-6;Lü;;; Lüneburg, Ratsbücherei, Theol. Fol. 6;1200.0;1224.0
lnm-12017;Lv;;; Liverpool, National Museum and Galleries on Merseyside, MS 12017;1200.0;1300.0
lnm-12012;Lv1;;; Liverpool, National Museum and Galleries on Merseyside, MS 12012;1180.0;
mbb-clm-10182;M;;; München, Bayerische Staatsbibliothek, Clm 10182;1200.0;1224.0
mbb-clm-8201;M10;;; München, Bayerische Staatsbibliothek, Clm 8201;1414.0;1415.0
mbb-clm-28173;M14;;; München, Bayerische Staatsbibliothek, Clm 28173;1455.0;1458.0
mbb-cgm-252;M15;;; München, Bayerische Staatsbibliothek, Cgm 252;1455.0;1477.0
mbb-clm-28514;M16;;; München, Bayerische Staatsbibliothek, Clm 28514;1468.0;1468.0
mbb-clm-12705;M19;;; München, Bayerische Staatsbibliothek, Clm 12705;1400.0;1499.0
mbb-clm-14969;M20;;; München, Bayerische Staatsbibliothek, Clm 14969;1400.0;1499.0
mbb-clm-9665;M4;;; München, Bayerische Staatsbibliothek, Clm 9665;1300.0;1399.0
