tcain_won364,cain ,,,agricola ,dolens ,,sua ,munera ,et ,non ,,fratris ,,,fuisse ,,,reprobata ,licet ,,a ,domino ,,increpatus ,,fratrem ,,,,septiformi ,peccato ,interfecit ,,postea ,uagus ,,et ,instabilis ,,,super ,terram ,factus ,,,,,,,,,,,,,,,,,,,,,postquam ,,a ,domino ,est ,maledictus
tcain_fbmplut2056,caym ,,,agricola ,dolens ,,sua ,munera ,et ,non ,,fratris ,,,fuisse ,,,reprobata ,licet ,,a ,domino ,,increpatus ,,fratrem ,,suum ,,septiformi ,peccato ,interfecit ,qui ,postea ,uagus ,,et ,instabilis ,,,super ,terram ,poitus ,,,,,,,,,,,,,,,,,,,est ,,postquam ,,a ,domino ,est ,maledictus
tcain_lol390,chain ,,,agricola ,dolens ,,sua ,munera ,et ,non ,,fratris ,,,fuisse ,,,reprobata ,licet ,,a ,domino ,,increpatus ,,fratrem ,,,,septiformi ,peccato ,interfecit ,,postea ,uagus ,,et ,instabilis ,,,super ,terram ,factus ,,,,,,,,,,,,,,,,,,,,,postquam ,,a ,domino ,est ,maledictus
tcain_mbsclm2660,,cayn ,,agricola ,dolens ,,sua ,munera ,et ,non ,,fratris ,,,fuisse ,,,reprobata ,licet ,,a ,domino ,,increpatus ,,fratrem ,,,,septiformi ,peccato ,interfecit ,,postea ,uagus ,,et ,instabilis ,,,super ,terram ,factus ,,,,,,,,,,,,,,,,,,,,,postquam ,,a ,domino ,est ,maledictus
tcain_lblcotvitciii,chaim ,,,agricola ,dolens ,,sua ,munera ,et ,non ,,fratris ,,esse ,,,,reprobata ,licet ,,a ,domino ,,increpatus ,,fratrem ,,,,septiformi ,peccato ,interfecit ,,postea ,uagus ,,et ,instabilis ,factus ,,super ,terram ,,,,,,,,,,,,,,,,,,,,,,postquam ,,a ,domino ,,maledictus
tcain_avr166,chaym ,,,agricola ,dolens ,,sua ,munera ,et ,non ,,fratris ,,,fuisse ,,,reprobata ,licet ,,a ,domino ,,increpatus ,,fratrem ,fini ,,,septiformi ,peccato ,interfecit ,qui ,postea ,uagus ,,et ,instabilis ,,,super ,terram ,factus ,,,,,,,,,,,,,,,,,,,est ,,postquam ,,a ,domino ,est ,maledictus
tcain_fbrricc236,,cayn ,,agricola ,dolens ,,sua ,munera ,et ,non ,,fratris ,fuisse ,esse ,,,,reprobata ,licet ,,a ,domino ,,increpatus ,,fratrem ,,,,septiformi ,peccato ,interfecit ,,postea ,uagus ,,et ,instabilis ,,,super ,terram ,factus ,,,,,,,,,,,,,,,,,,,,,postquam ,,a ,domino ,est ,maledictus
tcain_lblcotrollxiv12,chaim ,,,agricola ,dolens ,,sua ,munera ,et ,non ,,fratris ,,,fuisse ,,,reprobata ,licet ,,a ,domino ,,increpatus ,,fratrem ,,,,septiformi ,peccato ,interfecit ,,postea ,uagus ,,et ,instabilis ,,,super ,terram ,factus ,,,,,,,,,,,,,,,,,,,,,postquam ,,a ,domino ,est ,maledictus
tcain_eufdeperfca2079,caym ,,,agricola ,dolens ,,sua ,munera ,et ,non ,,,,,fuisse ,,,reprobata ,licet ,,a ,domino ,,increpatus ,,fratrem ,,,,septiformi ,peccato ,interfecit ,quis ,non recte ,diuisit ,,inuidit ,dolo ,nocauit ,occidit ,negauit desperauit ,,,,,,,,,,,,,,,,,,,postea ,factus ,,instabilis ,super terram ,,a ,domino ,est ,maledictus
tcain_mbsclm19414,chaym ,,,agricola ,dolens ,,sua ,munera ,et ,non ,,fratris ,,,fuisse ,,,reprobata ,licet ,,a ,domino ,,increpatus ,,fratrem ,,suum ,,septiformi ,peccato ,interfecit ,q ,postea ,uagus ,,et ,instabilis ,,,super ,terram ,factis ,,,,,,,,,,,,,,,,,,,,,postquam ,,,,est ,maledictus
